epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.433,1.67705,6.26508,1.48131,0.45949,0.45411,0.40698,0.19777,1.78808,4.3392,1.6786,0.000662879,0.000662879,0.000662879
2,217.347,1.8062,3.65758,1.57778,0.50273,0.33575,0.37913,0.20057,1.77676,4.64185,1.5738,0.00131638,0.00131638,0.00131638
3,316.037,1.80655,3.49647,1.58277,0.47659,0.41568,0.36604,0.17191,1.92268,4.98984,1.71241,0.00195669,0.00195669,0.00195669
4,414.593,1.78931,3.38277,1.58016,0.54462,0.4686,0.47807,0.26037,1.64472,3.36809,1.52674,0.0019406,0.0019406,0.0019406
5,512.966,1.72797,3.26328,1.52946,0.59381,0.50242,0.54976,0.31158,1.54811,3.1681,1.44928,0.0019208,0.0019208,0.0019208
6,611.543,1.66533,3.09195,1.47602,0.67801,0.4686,0.56486,0.31385,1.60376,3.0622,1.48044,0.001901,0.001901,0.001901
7,709.915,1.65724,2.93745,1.47835,0.65441,0.53059,0.57649,0.33844,1.50747,2.71294,1.49029,0.0018812,0.0018812,0.0018812
8,808.522,1.62795,2.92919,1.47184,0.6346,0.57729,0.611,0.34862,1.50913,2.67655,1.40906,0.0018614,0.0018614,0.0018614
9,907.23,1.58494,2.83582,1.43424,0.69053,0.58748,0.65165,0.37837,1.444,2.67404,1.40695,0.0018416,0.0018416,0.0018416
10,1005.72,1.54645,2.71044,1.39169,0.66801,0.56379,0.62409,0.35558,1.52027,2.73258,1.44736,0.0018218,0.0018218,0.0018218
11,1104.14,1.53083,2.60522,1.3827,0.70503,0.54846,0.64202,0.36664,1.45589,2.58113,1.39488,0.001802,0.001802,0.001802
12,1202.6,1.49279,2.59639,1.37749,0.74083,0.59179,0.66617,0.38207,1.37636,2.494,1.36134,0.0017822,0.0017822,0.0017822
13,1301.12,1.47066,2.50149,1.34281,0.69153,0.55556,0.63496,0.39182,1.41216,2.43016,1.36568,0.0017624,0.0017624,0.0017624
14,1399.31,1.4353,2.44779,1.31848,0.70567,0.60228,0.67028,0.39085,1.42358,2.36767,1.36556,0.0017426,0.0017426,0.0017426
15,1497.68,1.44357,2.45012,1.34213,0.73971,0.60628,0.68269,0.41318,1.36635,2.45602,1.31917,0.0017228,0.0017228,0.0017228
16,1596.17,1.44315,2.41219,1.31274,0.73957,0.57729,0.67056,0.39763,1.4337,2.38481,1.35654,0.001703,0.001703,0.001703
